"pair_id","evidence_class"
"SRR7910035.10334997","A;B"
"SRR7910035.10897477","A"
"SRR7910035.11023455","B;A"
"SRR7910035.11156312","A"
"SRR7910035.11419181","D;A"
"SRR7910035.11900901","C;A"
"SRR7910035.12937012","A"
"SRR7910035.15436240","A;D"
"SRR7910035.17087479","D;A"
"SRR7910035.18235913","D"
"SRR7910035.19346284","D;A"
"SRR7910035.1964432","A"
"SRR7910035.1970792","A"
"SRR7910035.2051268","D;A"
"SRR7910035.20819473","B;D"
"SRR7910035.21033183","C;A"
"SRR7910035.21299","A"
"SRR7910035.21584664","A"
"SRR7910035.23078712","A"
"SRR7910035.23521289","A"
"SRR7910035.24197645","A"
"SRR7910035.24697138","A"
"SRR7910035.25988092","A"
"SRR7910035.26317054","D;A"
"SRR7910035.26367709","A"
"SRR7910035.27336957","D"
"SRR7910035.27458563","A"
"SRR7910035.3301201","A;B"
"SRR7910035.3359319","A"
"SRR7910035.3421399","D;A"
"SRR7910035.3520646","A"
"SRR7910035.3522774","A"
"SRR7910035.3831778","A"
"SRR7910035.621828","A"
"SRR7910035.6537663","A"
"SRR7910035.6717252","A"
"SRR7910035.8621612","A"
"SRR7910035.8944822","A"
"SRR7910035.9218689","A"
"SRR7910035.9264363","A"
"SRR7910035.9295551","A;D"
