"test","passed"
"01_DNAString_type",TRUE
"02_AAString_type",TRUE
"03_reference_length_951",TRUE
"04_reference_653_K",TRUE
"05_reference_698_L",TRUE
"06_anchor_width_17",TRUE
"07_target_offset_center",TRUE
"08_pattern_length_51nt",TRUE
"09_forward_patterns_valid_IUPAC",TRUE
"10_reverse_patterns_valid_IUPAC",TRUE
"11_internal_codon_translation",TRUE
"12_forward_prefilter_653",TRUE
"13_reverse_prefilter_653",TRUE
"14_forward_rigorous_validation",TRUE
"15_reverse_rigorous_validation",TRUE
"16_reverse_coordinate_bounds",TRUE
"17_forward_coordinate_bounds",TRUE
"18_exact_phred_coordinates",TRUE
"19_reverse_quality_handling",TRUE
"20_detects_698_variant",TRUE
"21_rejects_unrelated_read",TRUE
"22_no_init_translation",TRUE
"23_pair_id_normalization",TRUE
"24_length_guard",TRUE
"25_reference_653_assertion",TRUE
"26_reference_698_assertion",TRUE
"27_n_outside_anchor_recovery",TRUE
"28_n_target_codon_rejected",TRUE
