"chunk_id","n_candidate_pairs","n_r1_candidate_pairs","n_r2_candidate_pairs","n_r1_candidate_pairs_with_r2_mate","n_r2_candidate_pairs_with_r1_mate","n_partner_validated_records","n_partner_validated_pairs"
1,3,3,0,3,0,0,0
2,2,2,0,2,0,0,0
3,0,0,0,0,0,0,0
4,0,0,0,0,0,0,0
5,0,0,0,0,0,0,0
6,2,2,1,2,1,4,1
7,1,1,0,1,0,1,1
8,2,1,1,1,1,0,0
9,2,1,2,1,2,2,1
10,1,1,1,1,1,4,1
11,0,0,0,0,0,0,0
12,1,0,1,0,1,0,0
13,0,0,0,0,0,0,0
14,2,2,0,2,0,0,0
15,0,0,0,0,0,0,0
16,1,1,0,1,0,0,0
17,1,1,0,1,0,1,1
18,1,1,0,1,0,0,0
19,2,2,1,2,1,2,1
20,3,2,3,2,3,4,2
21,1,1,0,1,0,0,0
22,0,0,0,0,0,0,0
23,2,1,1,1,1,0,0
24,0,0,0,0,0,0,0
25,0,0,0,0,0,0,0
26,0,0,0,0,0,0,0
27,0,0,0,0,0,0,0
28,1,0,1,0,1,0,0
29,1,1,0,1,0,0,0
30,2,1,1,1,1,0,0
31,0,0,0,0,0,0,0
32,1,1,1,1,1,3,1
33,3,1,2,1,2,0,0
34,5,5,3,5,3,8,3
35,2,1,1,1,1,0,0
36,2,2,1,2,1,2,1
37,1,0,1,0,1,0,0
38,0,0,0,0,0,0,0
39,2,0,2,0,2,0,0
40,2,0,2,0,2,0,0
41,2,1,2,1,2,3,1
42,0,0,0,0,0,0,0
43,0,0,0,0,0,0,0
44,1,0,1,0,1,0,0
45,1,1,1,1,1,2,1
46,1,0,1,0,1,0,0
47,2,1,1,1,1,1,1
48,0,0,0,0,0,0,0
49,1,0,1,0,1,0,0
50,2,1,2,1,2,2,1
51,0,0,0,0,0,0,0
52,1,0,1,0,1,0,0
53,0,0,0,0,0,0,0
54,1,1,0,1,0,0,0
55,1,0,1,0,1,0,0
56,2,1,2,1,2,3,1
57,1,1,0,1,0,0,0
58,2,0,2,0,2,0,0
59,1,1,0,1,0,0,0
60,1,1,1,1,1,3,1
61,3,1,2,1,2,1,1
62,0,0,0,0,0,0,0
63,1,1,0,1,0,0,0
64,1,0,1,0,1,0,0
65,0,0,0,0,0,0,0
66,1,0,1,0,1,0,0
67,1,1,0,1,0,0,0
68,0,0,0,0,0,0,0
69,1,1,0,1,0,0,0
70,0,0,0,0,0,0,0
71,0,0,0,0,0,0,0
72,0,0,0,0,0,0,0
73,2,1,1,1,1,0,0
74,1,1,0,1,0,0,0
75,3,2,3,2,3,6,2
76,1,0,1,0,1,0,0
77,0,0,0,0,0,0,0
78,3,3,2,3,2,5,2
79,2,2,0,2,0,1,1
80,3,1,2,1,2,0,0
81,3,1,2,1,2,0,0
82,1,0,1,0,1,0,0
83,0,0,0,0,0,0,0
84,2,1,1,1,1,0,0
85,0,0,0,0,0,0,0
86,2,1,1,1,1,0,0
87,2,0,2,0,2,0,0
88,3,2,1,2,1,0,0
89,1,1,0,1,0,0,0
90,2,2,0,2,0,1,1
91,1,1,1,1,1,2,1
92,1,0,1,0,1,0,0
93,2,1,1,1,1,1,1
94,0,0,0,0,0,0,0
95,2,2,1,2,1,3,1
96,0,0,0,0,0,0,0
97,1,0,1,0,1,0,0
98,1,0,1,0,1,0,0
99,1,1,0,1,0,0,0
100,0,0,0,0,0,0,0
101,0,0,0,0,0,0,0
102,0,0,0,0,0,0,0
103,0,0,0,0,0,0,0
104,1,0,1,0,1,0,0
105,4,2,2,2,2,0,0
106,1,1,1,1,1,3,1
107,0,0,0,0,0,0,0
108,0,0,0,0,0,0,0
109,1,1,1,1,1,3,1
110,2,2,0,2,0,1,1
111,3,2,2,2,2,2,1
112,5,3,3,3,3,2,1
113,3,3,2,3,2,5,2
114,1,1,1,1,1,2,1
115,1,1,0,1,0,0,0
