"test","passed"
"01_DNAString_type",TRUE
"02_forward_orientation",TRUE
"03_reverse_orientation",TRUE
"04_nonzero_frame",TRUE
"05_detects_653_variant",TRUE
"06_detects_698_variant",TRUE
"07_rejects_unrelated_read",TRUE
"08_forward_coordinate_bounds",TRUE
"09_reverse_coordinate_bounds",TRUE
"10_forward_codon_translation",TRUE
"11_reverse_codon_translation",TRUE
"12_forward_phred_coordinates",TRUE
"13_reverse_phred_coordinates",TRUE
"14_exact_phred_window",TRUE
"15_reverse_biological_codon",TRUE
"16_no_init_translation",TRUE
"17_double_bracket_extraction",TRUE
"18_reference_653",TRUE
"19_reference_698",TRUE
"20_653_variant_codon",TRUE
"21_698_variant_codon",TRUE
"22_length_guard",TRUE
"23_anchor_tolerates_one_mismatch",TRUE
