pair_id,positions_observed,concordant_positions,discordant_positions,pair_concordance_pct
SRR7910035.11023455,73,73,0,100
SRR7910035.11156312,83,83,0,100
SRR7910035.11900901,46,46,0,100
SRR7910035.21033183,50,50,0,100
SRR7910035.21299,68,68,0,100
SRR7910035.23078712,83,83,0,100
SRR7910035.23521289,67,67,0,100
SRR7910035.25988092,81,81,0,100
SRR7910035.26367709,32,32,0,100
SRR7910035.27458563,77,77,0,100
SRR7910035.3520646,63,63,0,100
SRR7910035.3522774,83,83,0,100
SRR7910035.6537663,62,62,0,100
SRR7910035.6717252,60,60,0,100
SRR7910035.8621612,83,83,0,100
SRR7910035.8944822,83,83,0,100
SRR7910035.9218689,83,83,0,100
SRR7910035.9264363,79,79,0,100
SRR7910035.21584664,84,83,1,98.8
SRR7910035.3831778,84,78,6,92.9
SRR7910035.24197645,84,73,11,86.9
SRR7910035.621828,84,73,11,86.9
SRR7910035.1970792,84,70,14,83.3
SRR7910035.10897477,84,62,22,73.8
SRR7910035.24697138,84,62,22,73.8
SRR7910035.12937012,84,58,26,69
SRR7910035.1964432,84,55,29,65.5
SRR7910035.3359319,84,52,32,61.9
