pair_id,positions_observed,concordant_positions,discordant_positions,pair_concordance_pct
SRR7910035.21033183,50,17,33,34
SRR7910035.11023455,73,27,46,37
SRR7910035.27458563,77,33,44,42.9
SRR7910035.8944822,83,36,47,43.4
SRR7910035.9218689,83,36,47,43.4
SRR7910035.11900901,46,20,26,43.5
SRR7910035.3520646,63,28,35,44.4
SRR7910035.24197645,96,47,49,49
SRR7910035.25988092,81,40,41,49.4
SRR7910035.9264363,79,39,40,49.4
SRR7910035.21584664,86,43,43,50
SRR7910035.3831778,93,51,42,54.8
SRR7910035.6717252,60,33,27,55
SRR7910035.24697138,111,63,48,56.8
SRR7910035.8621612,83,48,35,57.8
SRR7910035.621828,99,58,41,58.6
SRR7910035.26367709,32,19,13,59.4
SRR7910035.1964432,119,71,48,59.7
SRR7910035.3359319,124,74,50,59.7
SRR7910035.3522774,83,50,33,60.2
SRR7910035.1970792,102,62,40,60.8
SRR7910035.23521289,67,41,26,61.2
SRR7910035.12937012,115,71,44,61.7
SRR7910035.6537663,62,39,23,62.9
SRR7910035.10897477,115,76,39,66.1
SRR7910035.21299,68,46,22,67.6
SRR7910035.11156312,83,57,26,68.7
SRR7910035.23078712,83,59,24,71.1
