"gene","reference_file","header","checksum","reference_type","observed_bp","expected_bp","cds_length_match","cds_divisible_by_3","start_codon","start_codon_valid","stop_codon","stop_codon_valid","internal_stops","ambiguous_bases","aa_length_including_terminal_stop","aa_length_excluding_terminal_stop","expected_aa_len","aa_length_match","terminal_stop_included","gc_percent","header_valid","header_contains_target_gene","header_unique","translation_success","status","reason"
"ATPF1G","ATPF1G.fasta","Tb927.10.180:mRNA-p1 | transcript=Tb927.10.180:mRNA | gene=Tb927.10.180 | organism=Trypanosoma_brucei_brucei_TREU927 | gene_product=ATP synthase F1 subunit gamma protein, putative | transcript_product=ATP synthase F1 subunit gamma protein, putative | location=Tb927_10_v5.1:72375-73292(+) | protein_length=305 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false","63578bcb7cee2f759444db2a6c076b73","protein",NA,NA,NA,NA,NA,NA,NA,NA,0,0,305,305,305,TRUE,FALSE,NA,TRUE,FALSE,TRUE,TRUE,"PASS","OK"
"ATPF1B","ATPF1B.fasta","Tb927.3.1380:mRNA-p1 | transcript=Tb927.3.1380:mRNA | gene=Tb927.3.1380 | organism=Trypanosoma_brucei_brucei_TREU927 | gene_product=ATP synthase subunit beta, mitochondrial | transcript_product=ATP synthase subunit beta, mitochondrial | location=Tb927_03_v5.1:344483-346042(+) | protein_length=519 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false","146a2c364b8758a3eabe4f0cf067a231","protein",NA,NA,NA,NA,NA,NA,NA,NA,0,0,519,519,519,TRUE,FALSE,NA,TRUE,FALSE,TRUE,TRUE,"PASS","OK"
"POLIB","POLIB.fasta","Tb927.11.4690:mRNA-p1 | transcript=Tb927.11.4690:mRNA | gene=Tb927.11.4690 | organism=Trypanosoma_brucei_brucei_TREU927 | gene_product=mitochondrial DNA polymerase I protein B | transcript_product=mitochondrial DNA polymerase I protein B | location=Tb927_11_v5.1:1352395-1356609(+) | protein_length=1404 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false","f66f35746ad8c9151a1eb307287e8d5a","protein",NA,NA,NA,NA,NA,NA,NA,NA,0,0,1404,1404,1404,TRUE,FALSE,NA,TRUE,FALSE,TRUE,TRUE,"PASS","OK"
"ATOM40","ATOM40.fasta","Tb927.9.9660:mRNA-p1 | transcript=Tb927.9.9660:mRNA | gene=Tb927.9.9660 | organism=Trypanosoma_brucei_brucei_TREU927 | gene_product=Mitochondrial import receptor subunit ATOM40 | transcript_product=Mitochondrial import receptor subunit ATOM40 | location=Tb927_09_v5.1:1538667-1539722(-) | protein_length=351 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false","5423c0e18d9667565a655491714c6535","protein",NA,NA,NA,NA,NA,NA,NA,NA,0,0,351,351,351,TRUE,FALSE,NA,TRUE,TRUE,TRUE,TRUE,"PASS","OK"
"TAC102","TAC102.fasta","Tb927.7.2390:mRNA-p1 | transcript=Tb927.7.2390:mRNA | gene=Tb927.7.2390 | organism=Trypanosoma_brucei_brucei_TREU927 | gene_product=Tripartite attachment complex protein 102 | transcript_product=Tripartite attachment complex protein 102 | location=Tb927_07_v5.1:613867-616722(-) | protein_length=951 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false","4e3c5f351180b6d94a46ff25f70052c6","protein",NA,NA,NA,NA,NA,NA,NA,NA,0,0,951,951,951,TRUE,FALSE,NA,TRUE,FALSE,TRUE,TRUE,"PASS","OK"
"ATPF1A","ATPF1A.fasta","Tb927.7.7420:mRNA-p1 | transcript=Tb927.7.7420:mRNA | gene=Tb927.7.7420 | organism=Trypanosoma_brucei_brucei_TREU927 | gene_product=ATP synthase F1, alpha subunit | transcript_product=ATP synthase F1, alpha subunit | location=Tb927_07_v5.1:2133007-2134761(-) | protein_length=584 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false","b576956e6098dce4aa7ae15ac8098c29","protein",NA,NA,NA,NA,NA,NA,NA,NA,0,0,584,584,584,TRUE,FALSE,NA,TRUE,FALSE,TRUE,TRUE,"PASS","OK"
