"pair_id","r2_qstart","r2_qend","r2_sstart","r2_send","r1_qstart","r1_qend","r1_sstart","r1_send","query_gap_aa"
"SRR7910035.10334997",609,648,1,120,733,824,3,278,84
"SRR7910035.10897477",612,648,2,112,733,780,1,144,84
"SRR7910035.11023455",568,648,3,245,733,776,3,134,84
"SRR7910035.11156312",596,648,3,161,733,789,18,188,84
"SRR7910035.11419181",532,630,3,299,733,789,47,217,102
"SRR7910035.11900901",559,648,1,270,733,789,22,192,84
"SRR7910035.12937012",608,648,3,125,733,775,2,130,84
"SRR7910035.15436240",584,648,1,195,769,868,2,301,120
"SRR7910035.17087479",502,599,3,296,733,789,14,184,133
"SRR7910035.18235913",485,572,3,266,809,898,1,270,236
"SRR7910035.19346284",507,605,3,299,733,777,2,136,127
"SRR7910035.1964432",605,648,1,132,733,768,1,108,84
"SRR7910035.1970792",606,648,1,129,733,786,3,164,84
"SRR7910035.2051268",473,571,2,298,733,782,1,150,161
"SRR7910035.20819473",570,645,5,232,733,831,3,299,87
"SRR7910035.21033183",557,641,2,256,733,788,3,170,91
"SRR7910035.21299",733,789,44,214,589,648,2,181,-201
"SRR7910035.21584664",585,648,1,192,733,782,2,151,84
"SRR7910035.23078712",605,648,3,134,733,789,45,215,84
"SRR7910035.23521289",586,648,3,191,733,789,38,208,84
"SRR7910035.24197645",581,648,1,204,733,768,1,108,84
"SRR7910035.24697138",602,648,3,143,733,773,2,124,84
"SRR7910035.25988092",585,647,2,190,733,786,1,162,85
"SRR7910035.26317054",463,554,1,276,733,789,19,189,178
"SRR7910035.26367709",733,789,72,242,563,647,3,257,-227
"SRR7910035.27336957",481,574,3,284,762,858,2,292,187
"SRR7910035.27458563",564,647,3,254,733,769,2,112,85
"SRR7910035.3301201",595,647,4,162,734,824,3,275,86
"SRR7910035.3359319",611,648,3,116,733,768,3,110,84
"SRR7910035.3421399",556,648,1,279,733,789,44,214,84
"SRR7910035.3520646",569,648,1,240,733,788,3,170,84
"SRR7910035.3522774",587,648,3,188,733,786,1,162,84
"SRR7910035.3831778",614,648,1,105,733,789,43,213,84
"SRR7910035.621828",587,648,1,186,733,771,1,117,84
"SRR7910035.6537663",576,648,3,221,733,789,23,193,84
"SRR7910035.6717252",571,647,2,232,733,789,17,187,85
"SRR7910035.8621612",594,648,3,167,733,789,14,184,84
"SRR7910035.8944822",573,647,2,226,733,771,3,119,85
"SRR7910035.9218689",577,648,3,218,733,776,2,133,84
"SRR7910035.9264363",573,648,1,228,733,776,3,134,84
"SRR7910035.9295551",592,648,3,173,743,842,2,301,94
