"read_id","mate","pair_id","n_positions","positions_detected"
"SRR7910035.10469288","R1","SRR7910035.10469288",1,"698"
"SRR7910035.10483750","R1","SRR7910035.10483750",2,"653,698"
"SRR7910035.10523016","R1","SRR7910035.10523016",1,"698"
"SRR7910035.10897477","R1","SRR7910035.10897477",1,"698"
"SRR7910035.10926248","R1","SRR7910035.10926248",1,"653"
"SRR7910035.10939317","R1","SRR7910035.10939317",2,"653,698"
"SRR7910035.11023455","R1","SRR7910035.11023455",1,"698"
"SRR7910035.11083043","R1","SRR7910035.11083043",1,"653"
"SRR7910035.11105842","R1","SRR7910035.11105842",1,"653"
"SRR7910035.11127158","R1","SRR7910035.11127158",1,"698"
"SRR7910035.11149758","R1","SRR7910035.11149758",1,"653"
"SRR7910035.11256751","R1","SRR7910035.11256751",1,"698"
"SRR7910035.11271351","R1","SRR7910035.11271351",1,"653"
"SRR7910035.11287848","R1","SRR7910035.11287848",2,"653,698"
"SRR7910035.11312982","R1","SRR7910035.11312982",1,"698"
"SRR7910035.11403111","R1","SRR7910035.11403111",2,"653,698"
"SRR7910035.11518660","R1","SRR7910035.11518660",1,"698"
"SRR7910035.11981873","R1","SRR7910035.11981873",1,"653"
"SRR7910035.12082200","R1","SRR7910035.12082200",1,"698"
"SRR7910035.12225327","R1","SRR7910035.12225327",1,"653"
"SRR7910035.12343262","R1","SRR7910035.12343262",2,"653,698"
"SRR7910035.12572402","R1","SRR7910035.12572402",1,"653"
"SRR7910035.12596863","R1","SRR7910035.12596863",1,"698"
"SRR7910035.12748195","R1","SRR7910035.12748195",1,"653"
"SRR7910035.12893422","R1","SRR7910035.12893422",2,"653,698"
"SRR7910035.12937012","R1","SRR7910035.12937012",1,"698"
"SRR7910035.13033134","R1","SRR7910035.13033134",1,"653"
"SRR7910035.13122849","R1","SRR7910035.13122849",1,"653"
"SRR7910035.13155573","R1","SRR7910035.13155573",2,"653,698"
"SRR7910035.13395112","R1","SRR7910035.13395112",1,"653"
"SRR7910035.13737285","R1","SRR7910035.13737285",1,"653"
"SRR7910035.13896760","R1","SRR7910035.13896760",1,"653"
"SRR7910035.1393131","R1","SRR7910035.1393131",2,"653,698"
"SRR7910035.1398154","R1","SRR7910035.1398154",1,"653"
