"qseqid","sseqid","pident","length","mismatch","gapopen","qstart","qend","sstart","send","evalue","bitscore","gene","mate","qstart_raw","qend_raw","sstart_raw","send_raw","q_span_aa","s_span_nt","expected_nt_span","span_matches_3x"
"TAC102","SRR7910035.24442018",100,100,0,0,830,929,2,301,4.45e-63,214,"TAC102","R1",830,929,301,2,100,300,300,TRUE
"TAC102","SRR7910035.2320332",100,100,0,0,824,923,2,301,4.45e-63,214,"TAC102","R1",824,923,301,2,100,300,300,TRUE
"TAC102","SRR7910035.8560816",100,100,0,0,834,933,1,300,4.64e-63,214,"TAC102","R1",834,933,1,300,100,300,300,TRUE
"TAC102","SRR7910035.6532656",100,100,0,0,834,933,1,300,4.64e-63,214,"TAC102","R1",834,933,300,1,100,300,300,TRUE
"TAC102","SRR7910035.5226135",100,100,0,0,834,933,1,300,4.64e-63,214,"TAC102","R1",834,933,300,1,100,300,300,TRUE
"TAC102","SRR7910035.14698894",100,100,0,0,825,924,2,301,5.5e-63,214,"TAC102","R1",825,924,301,2,100,300,300,TRUE
"TAC102","SRR7910035.14282885",100,100,0,0,825,924,2,301,5.5e-63,214,"TAC102","R1",825,924,301,2,100,300,300,TRUE
"TAC102","SRR7910035.3269599",100,100,0,0,823,922,1,300,5.79e-63,214,"TAC102","R1",823,922,300,1,100,300,300,TRUE
"TAC102","SRR7910035.9020260",100,100,0,0,829,928,2,301,6.08e-63,214,"TAC102","R1",829,928,301,2,100,300,300,TRUE
"TAC102","SRR7910035.16418857",99,100,1,0,823,922,2,301,1.73e-62,213,"TAC102","R1",823,922,2,301,100,300,300,TRUE
"TAC102","SRR7910035.4285739",100,100,0,0,818,917,2,301,1.86e-62,212,"TAC102","R1",818,917,301,2,100,300,300,TRUE
"TAC102","SRR7910035.12848717",100,99,0,0,836,934,4,300,2.03e-62,212,"TAC102","R1",836,934,300,4,99,297,297,TRUE
"TAC102","SRR7910035.25587482",100,100,0,0,817,916,1,300,2.05e-62,212,"TAC102","R1",817,916,300,1,100,300,300,TRUE
"TAC102","SRR7910035.18658851",100,100,0,0,816,915,1,300,2.05e-62,212,"TAC102","R1",816,915,300,1,100,300,300,TRUE
"TAC102","SRR7910035.9624886",100,100,0,0,817,916,1,300,2.05e-62,212,"TAC102","R1",817,916,1,300,100,300,300,TRUE
"TAC102","SRR7910035.13224633",100,100,0,0,815,914,1,300,2.67e-62,212,"TAC102","R1",815,914,300,1,100,300,300,TRUE
"TAC102","SRR7910035.130872",100,100,0,0,815,914,2,301,2.67e-62,212,"TAC102","R1",815,914,2,301,100,300,300,TRUE
