"qseqid","sseqid","pident","length","mismatch","gapopen","qstart","qend","sstart","send","evalue","bitscore","gene","mate","qstart_raw","qend_raw","sstart_raw","send_raw"
"ATPF1G","SRR7910035.6353030",99,100,1,0,73,172,1,300,1.05e-67,212,"ATPF1G","R1",73,172,1,300
"ATPF1G","SRR7910035.25146061",99,100,1,0,87,186,2,301,1.43e-67,211,"ATPF1G","R1",87,186,2,301
"ATPF1G","SRR7910035.26087612",99,100,1,0,90,189,1,300,1.45e-67,211,"ATPF1G","R1",90,189,1,300
"ATPF1G","SRR7910035.60306",99,100,1,0,89,188,2,301,1.53e-67,211,"ATPF1G","R1",89,188,2,301
"ATPF1G","SRR7910035.22793489",99,100,1,0,88,187,1,300,1.58e-67,211,"ATPF1G","R1",88,187,300,1
"ATPF1G","SRR7910035.7001239",99,100,1,0,42,141,1,300,1.61e-67,211,"ATPF1G","R1",42,141,300,1
"ATPF1G","SRR7910035.3331124",99,100,1,0,42,141,2,301,1.61e-67,211,"ATPF1G","R1",42,141,301,2
"ATPF1G","SRR7910035.16294208",99,100,1,0,84,183,1,300,1.65e-67,211,"ATPF1G","R1",84,183,1,300
"ATPF1G","SRR7910035.14323653",99,100,1,0,72,171,2,301,1.78e-67,211,"ATPF1G","R1",72,171,301,2
"ATPF1G","SRR7910035.21020244",99,100,1,0,41,140,2,301,2.07e-67,211,"ATPF1G","R1",41,140,301,2
"ATPF1G","SRR7910035.179112",99,100,1,0,41,140,2,301,2.07e-67,211,"ATPF1G","R1",41,140,301,2
"ATPF1G","SRR7910035.9213136",99,100,1,0,83,182,1,300,2.26e-67,211,"ATPF1G","R1",83,182,1,300
"ATPF1G","SRR7910035.9064704",99,100,1,0,74,173,2,301,2.31e-67,211,"ATPF1G","R1",74,173,2,301
"ATPF1G","SRR7910035.18200545",99,100,1,0,47,146,1,300,2.39e-67,211,"ATPF1G","R1",47,146,300,1
"ATPF1G","SRR7910035.22049697",99,100,1,0,69,168,1,300,2.44e-67,211,"ATPF1G","R1",69,168,300,1
"ATPF1G","SRR7910035.8874144",99,100,1,0,37,136,1,300,2.44e-67,211,"ATPF1G","R1",37,136,300,1
"ATPF1G","SRR7910035.3983282",99,100,1,0,69,168,2,301,2.44e-67,211,"ATPF1G","R1",69,168,301,2
"ATPF1G","SRR7910035.3009575",99,100,1,0,85,184,2,301,2.44e-67,211,"ATPF1G","R1",85,184,301,2
"ATPF1G","SRR7910035.25634074",99,100,1,0,75,174,1,300,2.49e-67,211,"ATPF1G","R1",75,174,1,300
"ATPF1G","SRR7910035.24328120",99,100,1,0,75,174,2,301,2.49e-67,211,"ATPF1G","R1",75,174,301,2
"ATPF1G","SRR7910035.14596168",99,100,1,0,44,143,1,300,2.61e-67,211,"ATPF1G","R1",44,143,1,300
"ATPF1G","SRR7910035.10074550",99,100,1,0,81,180,1,300,2.69e-67,211,"ATPF1G","R1",81,180,1,300
"ATPF1G","SRR7910035.8769472",99,100,1,0,81,180,1,300,2.69e-67,211,"ATPF1G","R1",81,180,1,300
"ATPF1G","SRR7910035.1231343",99,100,1,0,81,180,1,300,2.69e-67,211,"ATPF1G","R1",81,180,300,1
"ATPF1G","SRR7910035.23734999",99,100,1,0,67,166,2,301,2.91e-67,211,"ATPF1G","R1",67,166,2,301
"ATPF1G","SRR7910035.18988435",99,100,1,0,67,166,2,301,2.91e-67,211,"ATPF1G","R1",67,166,2,301
"ATPF1G","SRR7910035.8706668",99,100,1,0,67,166,1,300,2.91e-67,211,"ATPF1G","R1",67,166,300,1
"ATPF1G","SRR7910035.19745192",99,100,1,0,50,149,1,300,2.97e-67,211,"ATPF1G","R1",50,149,300,1
"ATPF1G","SRR7910035.17324685",99,100,1,0,82,181,1,300,3.17e-67,211,"ATPF1G","R1",82,181,300,1
"ATPF1G","SRR7910035.8508100",99,100,1,0,38,137,2,301,3.46e-67,211,"ATPF1G","R1",38,137,301,2
"ATPF1G","SRR7910035.8331885",99,100,1,0,39,138,1,300,3.46e-67,211,"ATPF1G","R1",39,138,1,300
"ATPF1G","SRR7910035.4818539",99,100,1,0,38,137,2,301,3.46e-67,211,"ATPF1G","R1",38,137,301,2
"ATPF1G","SRR7910035.2234025",99,100,1,0,77,176,1,300,3.5e-67,211,"ATPF1G","R1",77,176,1,300
"ATPF1G","SRR7910035.23061158",99,100,1,0,56,155,1,300,3.61e-67,211,"ATPF1G","R1",56,155,1,300
"ATPF1G","SRR7910035.21815109",99,100,1,0,56,155,1,300,3.61e-67,211,"ATPF1G","R1",56,155,1,300
"ATPF1G","SRR7910035.15798606",99,100,1,0,56,155,2,301,3.61e-67,211,"ATPF1G","R1",56,155,301,2
"ATPF1G","SRR7910035.27370962",99,100,1,0,46,145,1,300,3.77e-67,211,"ATPF1G","R1",46,145,1,300
"ATPF1G","SRR7910035.13366401",99,100,1,0,70,169,2,301,3.77e-67,211,"ATPF1G","R1",70,169,2,301
"ATPF1G","SRR7910035.10450462",99,100,1,0,70,169,1,300,3.77e-67,211,"ATPF1G","R1",70,169,300,1
"ATPF1G","SRR7910035.8850350",99,100,1,0,70,169,2,301,3.77e-67,211,"ATPF1G","R1",70,169,2,301
"ATPF1G","SRR7910035.16625863",99,100,1,0,45,144,2,301,3.81e-67,210,"ATPF1G","R1",45,144,2,301
"ATPF1G","SRR7910035.5215115",99,100,1,0,45,144,1,300,3.81e-67,210,"ATPF1G","R1",45,144,1,300
"ATPF1G","SRR7910035.2940429",99,100,1,0,45,144,1,300,3.81e-67,210,"ATPF1G","R1",45,144,300,1
"ATPF1G","SRR7910035.25402149",98,100,2,0,101,200,2,301,4.69e-67,210,"ATPF1G","R1",101,200,301,2
"ATPF1G","SRR7910035.2020914",99,100,1,0,54,153,1,300,4.69e-67,210,"ATPF1G","R1",54,153,300,1
"ATPF1G","SRR7910035.12960649",99,100,1,0,76,175,1,300,4.85e-67,210,"ATPF1G","R1",76,175,1,300
"ATPF1G","SRR7910035.9370834",99,100,1,0,76,175,2,301,4.85e-67,210,"ATPF1G","R1",76,175,2,301
"ATPF1G","SRR7910035.6638236",98,100,2,0,105,204,2,301,4.95e-67,210,"ATPF1G","R1",105,204,301,2
"ATPF1G","SRR7910035.27456834",99,100,1,0,123,222,1,300,5.06e-67,210,"ATPF1G","R1",123,222,1,300
"ATPF1G","SRR7910035.6021537",99,100,1,0,123,222,2,301,5.06e-67,210,"ATPF1G","R1",123,222,2,301
"ATPF1G","SRR7910035.27355623",99,100,1,0,78,177,2,301,5.41e-67,210,"ATPF1G","R1",78,177,301,2
"ATPF1G","SRR7910035.2621578",99,100,1,0,78,177,1,300,5.41e-67,210,"ATPF1G","R1",78,177,300,1
"ATPF1G","SRR7910035.23007929",98,100,2,0,103,202,2,301,6.03e-67,210,"ATPF1G","R1",103,202,301,2
"ATPF1G","SRR7910035.21875283",98,100,2,0,103,202,2,301,6.03e-67,210,"ATPF1G","R1",103,202,2,301
"ATPF1G","SRR7910035.2681304",98,100,2,0,103,202,1,300,6.03e-67,210,"ATPF1G","R1",103,202,300,1
"ATPF1G","SRR7910035.19748366",99,100,1,0,60,159,1,300,6.09e-67,210,"ATPF1G","R1",60,159,300,1
"ATPF1G","SRR7910035.27056572",99,100,1,0,61,160,1,300,6.16e-67,210,"ATPF1G","R1",61,160,1,300
"ATPF1G","SRR7910035.21480060",99,100,1,0,61,160,2,301,6.16e-67,210,"ATPF1G","R1",61,160,2,301
"ATPF1G","SRR7910035.4419570",99,100,1,0,120,219,2,301,6.5e-67,210,"ATPF1G","R1",120,219,301,2
"ATPF1G","SRR7910035.16981695",98.99,99,1,0,89,187,3,299,7.02e-67,210,"ATPF1G","R1",89,187,3,299
"ATPF1G","SRR7910035.17367571",98,100,2,0,104,203,2,301,7.1e-67,210,"ATPF1G","R1",104,203,2,301
"ATPF1G","SRR7910035.12377981",98,100,2,0,104,203,1,300,7.1e-67,210,"ATPF1G","R1",104,203,1,300
"ATPF1G","SRR7910035.10588683",98,100,2,0,93,192,2,301,7.17e-67,210,"ATPF1G","R1",93,192,2,301
"ATPF1G","SRR7910035.1222632",98,100,2,0,93,192,1,300,7.17e-67,210,"ATPF1G","R1",93,192,1,300
"ATPF1G","SRR7910035.23609809",99,100,1,0,124,223,2,301,8e-67,209,"ATPF1G","R1",124,223,301,2
"ATPF1G","SRR7910035.7174826",99,100,1,0,124,223,2,301,8e-67,209,"ATPF1G","R1",124,223,2,301
"ATPF1G","SRR7910035.9794908",98.99,99,1,0,75,173,3,299,9.32e-67,209,"ATPF1G","R1",75,173,3,299
"ATPF1G","SRR7910035.27192082",98.99,99,1,0,41,139,2,298,9.84e-67,209,"ATPF1G","R1",41,139,2,298
"ATPF1G","SRR7910035.17521708",98.99,99,1,0,44,142,3,299,1.02e-66,209,"ATPF1G","R1",44,142,3,299
"ATPF1G","SRR7910035.2786789",98,100,2,0,56,155,2,301,1.05e-66,209,"ATPF1G","R1",56,155,301,2
"ATPF1G","SRR7910035.7496309",98,100,2,0,43,142,1,300,1.09e-66,209,"ATPF1G","R1",43,142,300,1
"ATPF1G","SRR7910035.25932361",98.99,99,1,0,66,164,3,299,1.13e-66,209,"ATPF1G","R1",66,164,3,299
"ATPF1G","SRR7910035.10966185",98.99,99,1,0,66,164,3,299,1.13e-66,209,"ATPF1G","R1",66,164,3,299
"ATPF1G","SRR7910035.26902769",98.99,99,1,0,87,185,2,298,1.16e-66,209,"ATPF1G","R1",87,185,298,2
"ATPF1G","SRR7910035.26469498",98.99,99,1,0,87,185,3,299,1.2e-66,209,"ATPF1G","R1",87,185,299,3
"ATPF1G","SRR7910035.20414138",98.99,99,1,0,74,172,3,299,1.25e-66,209,"ATPF1G","R1",74,172,299,3
"ATPF1G","SRR7910035.1290670",98.99,99,1,0,74,172,3,299,1.25e-66,209,"ATPF1G","R1",74,172,3,299
"ATPF1G","SRR7910035.15171998",98,100,2,0,67,166,2,301,1.26e-66,209,"ATPF1G","R1",67,166,301,2
"ATPF1G","SRR7910035.6392025",98.99,99,1,0,67,165,3,299,1.33e-66,209,"ATPF1G","R1",67,165,3,299
"ATPF1G","SRR7910035.24284709",98.99,99,1,0,85,183,1,297,1.38e-66,209,"ATPF1G","R1",85,183,1,297
