"pair_id","mate","orientation_role","full_read_length","hsp_sstart","hsp_send","hsp_strand","gap_facing_nt_start","gap_facing_nt_end","gap_facing_nt_length","gap_position_start","gap_position_end","aligned_aa","pident_aa","evidence_class","class_reason"
"SRR7910035.10334997","R2","N",298,1,120,"forward",121,298,178,649,707,59,96.6,"A","57/59 interpretable aa match (96.6%), original-HSP-frame codon-anchored extension. NOTE: literal nucleotide-reference criterion unavailable because TAC102 CDS reference is not present."
"SRR7910035.10334997","R1","C",301,278,3,"reverse",279,301,23,NA,NA,0,NA,"D","Gap-facing nucleotide segment is < 30 nt (23 nt)."
"SRR7910035.10897477","R2","N",301,2,112,"forward",113,301,189,649,711,63,93.7,"A","59/63 interpretable aa match (93.7%), original-HSP-frame codon-anchored extension. NOTE: literal nucleotide-reference criterion unavailable because TAC102 CDS reference is not present."
"SRR7910035.10897477","R1","C",300,144,1,"reverse",145,300,156,681,732,52,96.2,"A","50/52 interpretable aa match (96.2%), original-HSP-frame codon-anchored extension. NOTE: literal nucleotide-reference criterion unavailable because TAC102 CDS reference is not present."
"SRR7910035.11023455","R2","N",301,3,245,"forward",246,301,56,649,666,18,33.3,"B","6/18 interpretable aa match (33.3%), below Class A threshold. NOTE: literal nucleotide-reference criterion unavailable because TAC102 CDS reference is not present."
"SRR7910035.11023455","R1","C",301,134,3,"reverse",135,301,167,678,732,55,94.5,"A","52/55 interpretable aa match (94.5%), original-HSP-frame codon-anchored extension. NOTE: literal nucleotide-reference criterion unavailable because TAC102 CDS reference is not present."
"SRR7910035.11156312","R2","N",301,3,161,"forward",162,301,140,649,694,46,91.3,"A","42/46 interpretable aa match (91.3%), original-HSP-frame codon-anchored extension. NOTE: literal nucleotide-reference criterion unavailable because TAC102 CDS reference is not present."
"SRR7910035.11156312","R1","C",301,188,18,"reverse",189,301,113,696,732,37,91.9,"A","34/37 interpretable aa match (91.9%), original-HSP-frame codon-anchored extension. NOTE: literal nucleotide-reference criterion unavailable because TAC102 CDS reference is not present."
"SRR7910035.11419181","R2","N",301,3,299,"forward",300,301,2,NA,NA,0,NA,"D","Gap-facing nucleotide segment is < 30 nt (2 nt)."
"SRR7910035.11419181","R1","C",301,217,47,"reverse",218,301,84,705,732,28,92.9,"A","26/28 interpretable aa match (92.9%), original-HSP-frame codon-anchored extension. NOTE: literal nucleotide-reference criterion unavailable because TAC102 CDS reference is not present."
"SRR7910035.11900901","R2","N",301,1,270,"forward",271,301,31,649,658,10,40,"C","4/10 interpretable aa match (40.0%), no qualifying A/B correspondence."
"SRR7910035.11900901","R1","C",301,192,22,"reverse",193,301,109,697,732,36,94.4,"A","34/36 interpretable aa match (94.4%), original-HSP-frame codon-anchored extension. NOTE: literal nucleotide-reference criterion unavailable because TAC102 CDS reference is not present."
