"gene","protein_length_aa","unique_supporting_reads_R1","unique_supporting_reads_R2","unique_supporting_reads_total","protein_query_coverage_pct","mean_support_depth","median_support_depth","min_support_depth","max_support_depth","pct_protein_support_depth_ge_1","pct_protein_support_depth_ge_5","pct_protein_support_depth_ge_10","mean_pident","median_pident","min_pident","max_pident","min_evalue","median_evalue","max_evalue","n_read_pairs_with_any_support","n_read_pairs_with_both_mates_supporting","mate_concordance_pct","mate_concordance_status","observation_status"
"ATPF1G",305,959,915,1874,100,531.843,551,325,603,100,100,100,95.94,98,47.31,100,1.05e-67,4.025e-60,9.95e-11,1114,760,68.2226211849192,"68.22","DETECTED_FULL_LENGTH_COVERAGE"
"ATPF1B",519,1073,1152,2225,100,389.682,408,159,480,100,100,100,94.67,97.98,50,100,8.45e-65,2.7e-50,1.85e-11,1289,936,72.6144297905353,"72.61","DETECTED_FULL_LENGTH_COVERAGE"
"POLIB",1404,4174,3917,8091,100,534.295,445,293,1248,100,100,100,85.61,96.97,33.66,100,1.18e-64,1.15e-54,9.84e-11,4827,3264,67.6196395276569,"67.62","DETECTED_FULL_LENGTH_COVERAGE"
"ATOM40",351,844,845,1689,100,415.875,427,272,458,100,100,100,95.32,98.21,43.62,100,2.13e-67,3.25e-53,4.98e-11,1030,659,63.9805825242718,"63.98","DETECTED_FULL_LENGTH_COVERAGE"
"TAC102",951,1911,1862,3773,91.17,357.086,413,0,480,91.1671924290221,91.1671924290221,91.1671924290221,94.87,97.75,46.81,100,4.45e-63,8.99e-51,9.67e-11,2166,1607,74.1920590951062,"74.19","DETECTED_PARTIAL_COVERAGE"
"ATPF1A",584,4467,4477,8944,100,1407.072,1391,397,1782,100,100,100,95.15,98,43.62,100,1.2e-65,6.26e-56,7.62e-11,5064,3880,76.6192733017377,"76.62","DETECTED_FULL_LENGTH_COVERAGE"
