"gene","mate","read_id","pair_id","n_hsps","qstart_union","qend_union","aa_covered_by_read","sstart_union","send_union","best_pident","best_evalue","best_bitscore"
"ATPF1A","R1","SRR7910035.10003102","SRR7910035.10003102",1,"326","424",99,"5","301",97.98,3.87e-58,195
"ATPF1A","R2","SRR7910035.10003102","SRR7910035.10003102",1,"396","495",100,"1","300",84,1.06e-47,167
"POLIB","R1","SRR7910035.10005913","SRR7910035.10005913",1,"1368","1404",37,"1","111",100,8.93e-13,72.4
"POLIB","R1","SRR7910035.10008129","SRR7910035.10008129",1,"897","996",100,"2","301",99,2.49e-59,205
"POLIB","R2","SRR7910035.10008129","SRR7910035.10008129",1,"809","907",99,"1","297",98.99,1.51e-57,200
"POLIB","R2","SRR7910035.10010177","SRR7910035.10010177",1,"1240","1327",88,"9","263",39.773,2.89e-13,73.9
"TAC102","R1","SRR7910035.10011396","SRR7910035.10011396",1,"306","404",99,"3","299",100,4.15e-58,200
"TAC102","R2","SRR7910035.10011396","SRR7910035.10011396",1,"274","369",96,"3","290",92.708,2.03e-52,184
"ATPF1A","R1","SRR7910035.10016401","SRR7910035.10016401",1,"2","101",100,"1","300",98,1.1e-34,132
"ATPF1A","R2","SRR7910035.10016401","SRR7910035.10016401",1,"61","159",99,"2","298",81.818,6.92e-46,163
"POLIB","R1","SRR7910035.10016686","SRR7910035.10016686",1,"1009","1107",99,"3","299",94.949,6.77e-46,166
"POLIB","R2","SRR7910035.10016686","SRR7910035.10016686",1,"901","998",98,"2","295",77.551,1.91e-39,148
"ATPF1A","R1","SRR7910035.10017414","SRR7910035.10017414",1,"181","279",99,"3","299",100,1.21e-59,199
"ATPF1A","R2","SRR7910035.10017414","SRR7910035.10017414",1,"276","374",99,"3","299",86.869,8.41e-50,173
"ATPF1B","R1","SRR7910035.10021448","SRR7910035.10021448",1,"194","292",99,"3","299",100,5.2e-64,209
"ATPF1B","R2","SRR7910035.10021448","SRR7910035.10021448",1,"86","173",88,"1","264",85.227,1.98e-41,150
"ATPF1G","R1","SRR7910035.1002318","SRR7910035.1002318",1,"178","276",99,"3","299",98.99,2.61e-63,201
"ATOM40","R2","SRR7910035.10027607","SRR7910035.10027607",1,"1","43",43,"2","130",100,4.59e-19,87.4
"POLIB","R1","SRR7910035.10030533","SRR7910035.10030533",1,"1344","1404",61,"2","184",100,5.34e-30,121
"POLIB","R1","SRR7910035.10031975","SRR7910035.10031975",1,"884","982",99,"3","299",100,6.99e-58,201
"POLIB","R2","SRR7910035.10031975","SRR7910035.10031975",1,"829","928",100,"2","301",99,5.06e-57,198
"TAC102","R1","SRR7910035.10033250","SRR7910035.10033250",1,"899","951",53,"2","160",100,1.66e-17,85.5
"ATPF1B","R1","SRR7910035.10034828","SRR7910035.10034828",1,"335","434",100,"2","301",100,6.34e-62,204
"ATPF1B","R2","SRR7910035.10034828","SRR7910035.10034828",1,"380","479",100,"2","301",100,2.73e-62,204
"ATPF1B","R1","SRR7910035.10035401","SRR7910035.10035401",1,"333","432",100,"1","300",99,2.05e-60,200
"ATPF1B","R2","SRR7910035.10035401","SRR7910035.10035401",1,"368","465",98,"3","296",98.98,1.62e-60,200
"ATPF1A","R1","SRR7910035.10038045","SRR7910035.10038045",1,"471","568",98,"3","296",100,6.1e-63,208
"ATPF1A","R2","SRR7910035.10038045","SRR7910035.10038045",1,"470","568",99,"2","298",96.97,1.53e-60,202
"POLIB","R1","SRR7910035.10039273","SRR7910035.10039273",1,"1135","1232",98,"2","295",96.939,2.97e-57,199
"POLIB","R2","SRR7910035.10039273","SRR7910035.10039273",1,"1278","1376",99,"3","299",95.96,1e-59,206
"TAC102","R1","SRR7910035.10040133","SRR7910035.10040133",1,"53","152",100,"1","300",99,1.14e-59,204
"TAC102","R2","SRR7910035.10040133","SRR7910035.10040133",1,"138","235",98,"3","296",90.816,6.85e-41,152
"TAC102","R1","SRR7910035.10040880","SRR7910035.10040880",1,"733","822",90,"30","299",95.556,3.08e-26,110
"ATPF1B","R1","SRR7910035.10041291","SRR7910035.10041291",1,"1","84",84,"49","300",98.81,2.1e-47,166
"ATPF1B","R2","SRR7910035.10041291","SRR7910035.10041291",1,"111","209",99,"1","297",88.889,5.08e-38,140
"TAC102","R2","SRR7910035.10043167","SRR7910035.10043167",1,"862","951",90,"3","272",98.889,1.1e-44,162
"ATPF1A","R1","SRR7910035.1004395","SRR7910035.1004395",1,"320","419",100,"1","300",99,2.04e-59,199
"ATPF1A","R2","SRR7910035.1004395","SRR7910035.1004395",1,"408","507",100,"2","301",92,2.73e-55,188
"POLIB","R1","SRR7910035.10044582","SRR7910035.10044582",1,"1263","1343",81,"48","296",45.783,4.77e-18,87.4
"ATPF1A","R1","SRR7910035.10044844","SRR7910035.10044844",1,"455","554",100,"1","300",100,1.24e-64,212
"ATPF1A","R2","SRR7910035.10044844","SRR7910035.10044844",1,"372","471",100,"1","300",88,1.34e-50,175
"ATPF1G","R1","SRR7910035.10047403","SRR7910035.10047403",1,"184","283",100,"2","301",99,3.25e-62,198
"ATPF1G","R2","SRR7910035.10047403","SRR7910035.10047403",1,"113","211",99,"3","299",94.949,1.38e-61,196
"POLIB","R1","SRR7910035.10049328","SRR7910035.10049328",1,"88","187",100,"1","300",100,4.91e-61,210
