"pair_id","N_mate","N_hsp_strand","N_gap_facing_nt_length","N_gap_position_start","N_gap_position_end","N_aligned_aa","N_pident_aa","N_evidence_class","C_mate","C_hsp_strand","C_gap_facing_nt_length","C_gap_position_start","C_gap_position_end","C_aligned_aa","C_pident_aa","C_evidence_class","pair_class","N_reaches_gap","C_reaches_gap","both_reach_gap","pair_gap_start","pair_gap_end","pair_gap_span_aa","full_gap_649_732"
"SRR7910035.10334997","R2","forward",178,649,707,59,96.6,"A","R1","reverse",23,NA,NA,0,NA,"D","A/other",TRUE,FALSE,FALSE,NA,NA,NA,FALSE
"SRR7910035.10897477","R2","forward",189,649,711,63,93.7,"A","R1","reverse",156,681,732,52,96.2,"A","A/A",TRUE,TRUE,TRUE,649,732,84,TRUE
"SRR7910035.11023455","R2","forward",56,649,666,18,33.3,"B","R1","reverse",167,678,732,55,94.5,"A","A/other",TRUE,TRUE,TRUE,649,732,84,TRUE
"SRR7910035.11156312","R2","forward",140,649,694,46,91.3,"A","R1","reverse",113,696,732,37,91.9,"A","A/A",TRUE,TRUE,TRUE,649,732,84,TRUE
"SRR7910035.11419181","R2","forward",2,NA,NA,0,NA,"D","R1","reverse",84,705,732,28,92.9,"A","A/other",FALSE,TRUE,FALSE,NA,NA,NA,FALSE
"SRR7910035.11900901","R2","forward",31,649,658,10,40,"C","R1","reverse",109,697,732,36,94.4,"A","A/other",TRUE,TRUE,TRUE,649,732,84,TRUE
"SRR7910035.12937012","R2","forward",175,649,706,58,93.1,"A","R1","reverse",171,676,732,57,98.2,"A","A/A",TRUE,TRUE,TRUE,649,732,84,TRUE
"SRR7910035.15436240","R2","forward",103,649,682,34,88.2,"A","R1","reverse",0,NA,NA,0,NA,"D","A/other",TRUE,FALSE,FALSE,NA,NA,NA,FALSE
"SRR7910035.17087479","R2","forward",2,NA,NA,0,NA,"D","R1","reverse",117,694,732,39,82.1,"A","A/other",FALSE,TRUE,FALSE,NA,NA,NA,FALSE
"SRR7910035.18235913","R2","forward",35,NA,NA,0,NA,"D","R1","reverse",31,NA,NA,0,NA,"D","D/D",FALSE,FALSE,FALSE,NA,NA,NA,FALSE
"SRR7910035.19346284","R2","forward",2,NA,NA,0,NA,"D","R1","reverse",165,678,732,55,90.9,"A","A/other",FALSE,TRUE,FALSE,NA,NA,NA,FALSE
"SRR7910035.1964432","R2","forward",166,649,703,55,96.4,"A","R1","reverse",193,669,732,64,98.4,"A","A/A",TRUE,TRUE,TRUE,649,732,84,TRUE
"SRR7910035.1970792","R2","forward",172,649,705,57,82.5,"A","R1","reverse",137,688,732,45,95.6,"A","A/A",TRUE,TRUE,TRUE,649,732,84,TRUE
"SRR7910035.2051268","R2","forward",1,NA,NA,0,NA,"D","R1","reverse",151,683,732,50,88,"A","A/other",FALSE,TRUE,FALSE,NA,NA,NA,FALSE
"SRR7910035.20819473","R2","forward",68,649,667,19,36.8,"B","R1","reverse",2,NA,NA,0,NA,"D","other",TRUE,FALSE,FALSE,NA,NA,NA,FALSE
"SRR7910035.21033183","R2","forward",44,649,655,7,14.3,"C","R1","reverse",131,690,732,43,79.1,"A","A/other",TRUE,TRUE,TRUE,649,732,84,TRUE
"SRR7910035.21299","R1","forward",118,649,687,39,89.7,"A","R2","reverse",87,704,732,28,89.3,"A","A/A",TRUE,TRUE,TRUE,649,732,84,TRUE
"SRR7910035.21584664","R2","forward",108,649,684,36,63.9,"A","R1","reverse",150,683,732,50,96,"A","A/A",TRUE,TRUE,TRUE,649,732,84,TRUE
"SRR7910035.23078712","R2","forward",166,649,703,55,92.7,"A","R1","reverse",86,705,732,28,92.9,"A","A/A",TRUE,TRUE,TRUE,649,732,84,TRUE
"SRR7910035.23521289","R2","forward",109,649,684,36,77.8,"A","R1","reverse",93,702,732,31,100,"A","A/A",TRUE,TRUE,TRUE,649,732,84,TRUE
"SRR7910035.24197645","R2","forward",97,649,680,32,81.2,"A","R1","reverse",193,669,732,64,96.9,"A","A/A",TRUE,TRUE,TRUE,649,732,84,TRUE
"SRR7910035.24697138","R2","forward",158,649,700,52,82.7,"A","R1","reverse",177,674,732,59,94.9,"A","A/A",TRUE,TRUE,TRUE,649,732,84,TRUE
"SRR7910035.25988092","R2","forward",109,649,683,35,62.9,"A","R1","reverse",139,687,732,46,95.7,"A","A/A",TRUE,TRUE,TRUE,649,732,84,TRUE
"SRR7910035.26317054","R2","forward",25,NA,NA,0,NA,"D","R1","reverse",112,696,732,37,73,"A","A/other",FALSE,TRUE,FALSE,NA,NA,NA,FALSE
"SRR7910035.26367709","R1","forward",44,649,661,13,92.3,"A","R2","reverse",59,714,732,19,89.5,"A","A/A",TRUE,TRUE,TRUE,649,732,84,TRUE
"SRR7910035.27336957","R2","forward",16,NA,NA,0,NA,"D","R1","reverse",9,NA,NA,0,NA,"D","D/D",FALSE,FALSE,FALSE,NA,NA,NA,FALSE
"SRR7910035.27458563","R2","forward",47,649,662,14,71.4,"A","R1","reverse",189,670,732,63,96.8,"A","A/A",TRUE,TRUE,TRUE,649,732,84,TRUE
"SRR7910035.3301201","R2","forward",139,649,693,45,57.8,"A","R1","reverse",26,NA,NA,0,NA,"D","A/other",TRUE,FALSE,FALSE,NA,NA,NA,FALSE
"SRR7910035.3359319","R2","forward",184,649,709,61,91.8,"A","R1","reverse",191,670,732,63,98.4,"A","A/A",TRUE,TRUE,TRUE,649,732,84,TRUE
"SRR7910035.3421399","R2","forward",22,NA,NA,0,NA,"D","R1","reverse",87,704,732,29,86.2,"A","A/other",FALSE,TRUE,FALSE,NA,NA,NA,FALSE
"SRR7910035.3520646","R2","forward",61,649,668,20,65,"A","R1","reverse",131,690,732,43,83.7,"A","A/A",TRUE,TRUE,TRUE,649,732,84,TRUE
"SRR7910035.3522774","R2","forward",112,649,685,37,86.5,"A","R1","reverse",139,687,732,46,97.8,"A","A/A",TRUE,TRUE,TRUE,649,732,84,TRUE
"SRR7910035.3831778","R2","forward",193,649,712,64,65.6,"A","R1","reverse",88,704,732,29,86.2,"A","A/A",TRUE,TRUE,TRUE,649,732,84,TRUE
"SRR7910035.621828","R2","forward",114,649,686,37,89.2,"A","R1","reverse",184,672,732,61,98.4,"A","A/A",TRUE,TRUE,TRUE,649,732,84,TRUE
"SRR7910035.6537663","R2","forward",80,649,674,26,92.3,"A","R1","reverse",108,697,732,36,97.2,"A","A/A",TRUE,TRUE,TRUE,649,732,84,TRUE
"SRR7910035.6717252","R2","forward",69,649,670,22,77.3,"A","R1","reverse",114,695,732,38,97.4,"A","A/A",TRUE,TRUE,TRUE,649,732,84,TRUE
"SRR7910035.8621612","R2","forward",133,649,692,44,77.3,"A","R1","reverse",117,694,732,39,89.7,"A","A/A",TRUE,TRUE,TRUE,649,732,84,TRUE
"SRR7910035.8944822","R2","forward",74,649,671,23,60.9,"A","R1","reverse",182,673,732,60,96.7,"A","A/A",TRUE,TRUE,TRUE,649,732,84,TRUE
"SRR7910035.9218689","R2","forward",82,649,675,27,55.6,"A","R1","reverse",168,677,732,56,85.7,"A","A/A",TRUE,TRUE,TRUE,649,732,84,TRUE
"SRR7910035.9264363","R2","forward",72,649,672,24,70.8,"A","R1","reverse",167,678,732,55,87.3,"A","A/A",TRUE,TRUE,TRUE,649,732,84,TRUE
"SRR7910035.9295551","R2","forward",128,649,690,42,83.3,"A","R1","reverse",0,NA,NA,0,NA,"D","A/other",TRUE,FALSE,FALSE,NA,NA,NA,FALSE
